"Road_Segment,Accident"
"GRI93Z2,94"
"B9V4IAJ,66"
"8LOVJZ3,919"
"Q03FQ74,535"
"7EHES8A,121"
"9PORL0H,152"
"C1ERJ22,24"
"31F34EZ,32"
"XPEXW89,20"
"P36URXV,170"
"P0XX6RS,235"
"PD4MTSH,165"
"IY03OM4,26"
"OHQYM1R,33"
"VBUCV9N,12"
"UAXX1ZE,5"
"NRWU3QW,33"
"5PYA0N2,81"
"EKVTVMV,19"
"S7S8GMD,58"
"5093ZHY,101"
"Q0VL8BD,653"
"1QSGDUE,50"
"AJRKP0C,544"
"LNO3W8J,137"
"I8VWS8W,95"
"Q2V2552,85"
"KVOVDD8,5"
"Z4VBV3L,5"
"7O594ZJ,3"
"6BNXT5I,14"
"5OR8UGL,62"
"GH5QX19,1"
"2ON8NSO,1"
"FTX7LB8,104"
"MEOYV3B,122"
"MTPU2BE,52"
"WL17NEO,1597"
"9WPSDH2,21"
"NL4FSPV,30"
"R6JUSZT,252"
"MM6HDEQ,216"
"74CTTH5,513"
"YGRV6SD,32"
"VODEAWO,60"
"1NG8I9K,4"
"O271SQN,226"
"UB5HE92,8"
"WJBR1L2,14"
"5DHNI4S,300"
"0QR8FDW,275"
"2BTEHF3,41"
"IQEYE3S,80"
"WAC029P,8"
"OFAXGKF,109"
"KL4UM68,122"
"OVJNYB2,138"
"XNUEEZN,155"
"WUGV4DU,316"
"RO046L9,51"
"XS7M5WZ,76"
"AQW5HO1,141"
"AZ1BUKH,15"
"T1DB85Y,55"
"CCMG98M,147"
"JCFWX6E,17"
"LUOD99L,8"
"IEBUIXM,268"
"6CP0S10,39"
"WPD6G14,5"
"KDFE19M,5"
"XBYNXP7,15"
"GLFV0XV,2"
"IUTMY1U,24"
"5QOCGMJ,3"
"DZABHQW,38"
"2XKQDM5,10"
"92BILMX,7"
"DS4NLQE,1"
"RY0TRQ8,40"
"1DDYC6F,90"
"V1BNX3D,198"
"WRJK3P3,19"
"DD8YXZF,6"
"YM2J7ZE,11"
"3GCD5AD,25"
"TC7A716,90"
"VO6FQAZ,41"
"VU4GFO5,8"
"HFQZU6J,5"
"H983665,1"
"ZP9STNM,1"
"M4U0X5G,9"
"8MX4B9C,30"
"BN3EJU4,15"
"B6D0HHC,40"
"XB2TN3V,2"
"5OV4U4C,107"
"BDDVLQE,57"
"IQS1GLY,43"
"P7RBBFB,61"
"YEWTYV9,16"
"RYJYAPI,76"
"QDRC5UW,69"
"ZL4WLO2,20"
"UXERJVK,112"
"N90YL69,230"
"M43AKN2,92"
"7T2W8WU,5"
"4T821GV,1"
"MC84I0T,8"
"PV3AVCT,9"
"OCR113O,64"
"TD8YB0R,137"
"BG1AFJU,134"
"AEY24LO,19"
"F055OA5,7"
"0ICKV72,41"
"UUZT4OE,27"
"2M4LCU0,228"
"PXI00H9,14"
"T64WM0N,4"
"8FIZY1M,190"
"8WHR0ZV,7"
"6VRO5T2,20"
"YF1XDKK,312"
"JY8VL6C,65"
"TKB7K8T,25"
"MP664QK,49"
"K27GB0B,13"
"M3INBBC,592"
"XINDPM1,298"
"2B7HTHS,239"
"WWFC10X,46"
"TK9DSXW,97"
"NG4X2MD,17"
"327YML6,10"
"MX8CVMX,463"
"L4CWZBU,8"
"GPYNUA8,25"
"MORJH71,53"
"T14JPJU,2"
"VUYACXV,61"
"1BJRIL1,49"
"FWO1XRQ,19"
"DMGFH2Z,28"
"CZBWW0Z,435"
"6A90XDM,91"
"Z2I5UQC,11"
"N5NO82G,161"
"V19MLWF,14"
"PRUSMVO,7"
"ZFMKTPH,18"
"QXDLKB7,12"
"IV5F6YM,251"
"N1MTRIJ,20"
"W0EUG1C,46"
"ZCX0S5O,9"
"V4ITGH1,35"
"G850GMA,15"
"GZ48XRL,205"
"QFRMXC4,97"
"SY568EU,2"
"P9PBFAJ,114"
"J8FAZRB,9"
"LXZFSP3,36"
"GMEHC97,6"
"5HTE1IC,29"
"XZZ3D4U,83"
"4K39AFD,224"
"4HHV563,181"
"KL3QK6O,3"
"YQCBO2Y,105"
"LG58LKX,18"
"5VK3U7Q,14"
"F1LYCFO,56"
"YSM1T15,7"
"S0B3CGQ,181"
