SegmentId,length_1
03RHJ3G,528.544
044ZYVD,590.558
086LLYS,430.272
0B0QOEN,513.522
0F3OY57,569.263
0FF63NM,587.969
0GZ5KS3,518.047
0ICKV72,569.263
0OH5J23,582.036
0PU7VDI,569.263
0QQIE2L,516.039
0QR8FDW,447.393
0ROEFOK,533.597
0TAWLCK,506.654
0TMS99B,479.043
0W39BFY,506.654
1451FOG,587.969
16WNX7T,569.132
1BB1WRK,487.419
1BJRIL1,487.413
1DDYC6F,365.121
1G21L7Q,487.413
1JRNIP6,569.132
1K4ZYII,496.859
1NG8I9K,521.945
1Q44FGG,382.55
1QSGDUE,364.528
1RWEBRU,432.39
1S5XWTK,564.661
1VFLTND,521.945
24P30PE,582.036
2B7HTHS,476.405
2BTEHF3,569.132
2FN9T8O,555.17
2J6C2D5,569.132
2M1UBKJ,493.974
2M4LCU0,521.765
2MHBCT2,523.482
2NHF7YC,552.042
2ON8NSO,350.749
2Q8T4YB,493.974
2XKQDM5,461.653
2YQQ9WS,474.722
31F34EZ,592.25
327YML6,350.749
396D4HI,449.287
3A5K1RU,587.969
3BMH2Q5,311.522
3GCD5AD,569.263
3IQ1GWG,569.263
3L7MZUR,569.263
3MW0MN9,521.945
3NAG1R5,523.482
3QSXJH3,569.132
3VORNT0,565.948
3WK9HI2,521.945
3YS1KQ9,584.9
3ZQNS8O,565.948
43RCYZH,575.848
47SP0JH,574.917
49ZDYOH,471.207
4A66E8Q,504.848
4HHV563,513.522
4K0TGLP,569.263
4K39AFD,516.039
4KQ8VO6,523.482
4NSOFJG,575.848
4SJWPE0,518.047
4T821GV,587.969
4UAL23D,592.25
4ZR4GL4,493.974
5093ZHY,479.043
50TVADD,555.17
5AC6YRF,269.999
5DHNI4S,387.216
5HTE1IC,487.413
5OR8UGL,569.263
5OV4U4C,521.765
5PYA0N2,569.132
5QOCGMJ,592.25
5QTO800,582.036
5VK3U7Q,555.17
5XWBAKZ,479.043
5Y5V87D,506.654
64QSPWU,560.553
68KOZH6,522.834
6A90XDM,506.654
6BNXT5I,178.44
6BYSPD6,504.848
6CP0S10,571.301
6E6M9NN,523.482
6EAJWW6,493.974
6K0F6S9,587.969
