SegmentId,RoadNo
03RHJ3G,M3
044ZYVD,N1
086LLYS,N2
0B0QOEN,N1
0F3OY57,N2
0FF63NM,N1
0GZ5KS3,Unclassified
0ICKV72,N2
0OH5J23,N1
0PU7VDI,N2
0QQIE2L,R300
0QR8FDW,M3
0ROEFOK,M4
0TAWLCK,R300
0TMS99B,M17
0W39BFY,R300
1451FOG,N1
16WNX7T,N2
1BB1WRK,N1
1BJRIL1,N7
1DDYC6F,N1
1G21L7Q,N7
1JRNIP6,N2
1K4ZYII,N2
1NG8I9K,N2
1Q44FGG,N2
1QSGDUE,M5
1RWEBRU,M5
1S5XWTK,N1
1VFLTND,N2
24P30PE,N1
2B7HTHS,Unclassified
2BTEHF3,N2
2FN9T8O,R300
2J6C2D5,N2
2M1UBKJ,R300
2M4LCU0,N1
2MHBCT2,N1
2NHF7YC,M3
2ON8NSO,N1
2Q8T4YB,R300
2XKQDM5,M5
2YQQ9WS,N2
31F34EZ,N1
327YML6,N1
396D4HI,M5
3A5K1RU,N1
3BMH2Q5,M5
3GCD5AD,N2
3IQ1GWG,N2
3L7MZUR,N2
3MW0MN9,N2
3NAG1R5,N1
3QSXJH3,N2
3VORNT0,N1
3WK9HI2,N2
3YS1KQ9,R300
3ZQNS8O,N1
43RCYZH,N1
47SP0JH,N2
49ZDYOH,R300
4A66E8Q,R300
4HHV563,N1
4K0TGLP,N2
4K39AFD,R300
4KQ8VO6,N1
4NSOFJG,N1
4SJWPE0,Unclassified
4T821GV,N1
4UAL23D,N1
4ZR4GL4,R300
5093ZHY,M17
50TVADD,R300
5AC6YRF,M5
5DHNI4S,N2
5HTE1IC,N7
5OR8UGL,N2
5OV4U4C,N1
5PYA0N2,N2
5QOCGMJ,N1
5QTO800,N1
5VK3U7Q,R300
5XWBAKZ,M17
5Y5V87D,R300
64QSPWU,N1
68KOZH6,N1
6A90XDM,R300
6BNXT5I,N2
6BYSPD6,R300
6CP0S10,N2
6E6M9NN,N1
6EAJWW6,R300
6K0F6S9,N1
6LJRHZ3,N1
6OTRJQF,N2
6Q68JYJ,N2
6SV0XZ0,R300
6VRO5T2,N1
70OVULT,M4
71YNY81,N2
727J2TV,N2
74A6FL0,R300
74CTTH5,N1
75BPNAM,N1
77YRHPV,N7
792705Z,R300
7AKUBY4,N2
7EHES8A,N2
7HICT0R,N1
7O594ZJ,N2
7PRTR79,N2
7QBQK9L,N1
7T2W8WU,N1
7YTZ0EM,M17
812PNMZ,N7
87QMHBI,M5
87Z5O7Q,Unclassified
89VZ0E3,R300
8EI7FOX,N1
8FBHDH2,N2
8FIZY1M,N1
8ITYQ2Z,N7
8LOVJZ3,N2
8LSZDSC,N2
8MX4B9C,N1
8PA0RQ9,M17
8PK91S2,N2
8SB405D,N1
8VPPU5N,N1
8WHR0ZV,N1
8YJIRQ2,N1
8Z5P9T1,N2
927BHUF,N1
92BILMX,R300
93GA3XB,N2
93O3U6U,N2
9484GS3,R300
956JU5F,N1
96FMXIF,R300
9DFWVJX,M3
9EXF4O5,N1
9FQFQ91,N2
9HDQLZ0,N1
9LMPLRW,N1
9NXZ103,N1
9PORL0H,R300
9VXCPYN,M3
9WPSDH2,N2
A0RUUQL,N1
A31P11M,N2
A3B2HGD,N2
AAS3KXB,N2
AEDN7D7,R300
AEY24LO,N2
AGD8UQ2,N1
AJRKP0C,N2
AQW5HO1,Unclassified
ASFER6E,M17
AUFDV1E,N1
AZ1BUKH,N1
B1VWF3B,N1
B3XNGYS,N1
B6D0HHC,N1
B8NRA4K,N1
B9V4IAJ,N1
BC5XKSB,N2
BDDVLQE,N2
BG1AFJU,N2
BK0B4IL,N2
BL0PD9J,N7
BN3EJU4,N1
BUJJNEA,N1
C0RCCDP,N1
C1ERJ22,N1
C3K236I,N1
C62YWEF,N1
C6E7KMD,N1
C6FASR5,N1
C6JTJJC,N1
CCMG98M,Unclassified
CJ0BLSW,N7
CJJI1XY,N1
CK5WH39,N7
CRAU339,N1
CTB99FS,N1
CZBWW0Z,N2
D1U6OOF,R300
D3349RH,N1
D5DGOZ9,N2
D7SS5LM,N2
DCB3LQM,N2
DD8YXZF,N1
DMGFH2Z,N1
DRFEFT4,R300
DRI712Q,N2
DRNRL0M,R300
DS4NLQE,N2
DUKT4RG,N2
DVQD3DE,N2
DZABHQW,N2
E4L0I98,N1
E5D3KEB,N2
EDXK0HP,N2
EIIZE13,N1
EJUD4D6,N1
EK3DHQ6,N2
EKVTVMV,N2
EKZN1VM,N2
EPX268G,N1
ETFFDX5,N1
EUXS47I,N7
EVANFZB,N7
EVFKBUY,N1
EZG7A38,R300
F055OA5,N1
F14EJLW,N1
F1LYCFO,N2
F47NAGJ,N1
F53D1DI,N1
F5UCVMI,N2
F8OXXG7,N2
FHYWZ07,M3
FKBUC13,Unclassified
FSOOCGH,N2
FTX7LB8,R300
FUPJ3Q2,N2
FVZ3HQS,N2
FWO1XRQ,R300
G181X8F,N1
G2LL3S8,R300
G5753GU,N1
G5UHNNF,N1
G850GMA,N1
G98H7FR,N1
GBN0X51,N1
GDVJYQW,N2
GFX7S4B,R300
GH5QX19,N2
GLFV0XV,N1
GMEHC97,N2
GNGA5AC,N1
GO93XEE,N2
GPYNUA8,R300
GRI93Z2,N1
GU8ECHB,N2
GUA17R4,R300
GVQD9D6,N1
GWTSM5V,N2
GX2UELI,N1
GZ48XRL,N1
H48JVZQ,N2
H7OMXI9,N2
H8PYLH4,N2
H8R7OJ2,N2
H983665,N1
H9QJECU,N2
H9XYX9Q,N2
HB933EE,R300
HFQZU6J,N1
HH4TZKC,N1
HIUQ2RB,N1
HL23AIZ,N1
HM3QRDM,R300
HN83F3L,N1
HNEAFHF,N2
HQ54B8O,N2
HR19LL7,N1
